,cores,l1d_size,l1d_assoc,l2_size,l2_assoc,sim_name,sim_ticks
404,2,32,32,1024,2,fft,1111904003
377,2,32,2,1024,32,fmm,40869196250
378,2,32,2,1024,32,lu,1.06269E+11
379,2,32,2,1024,32,ocean,34636787639
380,2,32,2,1024,32,radix,74996786358
381,2,32,2,1024,32,raytrace,643410323
382,2,32,2,1024,4,cholesky,1.97245E+11
411,2,32,32,1024,32,fft,1111904003
384,2,32,2,1024,4,fmm,40788743750
385,2,32,2,1024,4,lu,1.04465E+11
386,2,32,2,1024,4,ocean,35182541768
387,2,32,2,1024,4,radix,74851330606
388,2,32,2,1024,4,raytrace,643410323
389,2,32,2,1024,8,cholesky,2.05244E+11
418,2,32,32,1024,4,fft,1111904003
391,2,32,2,1024,8,fmm,40782937500
392,2,32,2,1024,8,lu,1.04736E+11
393,2,32,2,1024,8,ocean,34796287866
394,2,32,2,1024,8,radix,74905233051
395,2,32,2,1024,8,raytrace,643410323
396,2,32,32,1024,16,cholesky,2.10557E+11
425,2,32,32,1024,8,fft,1111904003
398,2,32,32,1024,16,fmm,53869353383
399,2,32,32,1024,16,lu,1.05085E+11
400,2,32,32,1024,16,ocean,34943632329
401,2,32,32,1024,16,radix,74925910519
402,2,32,32,1024,16,raytrace,642125066
403,2,32,32,1024,2,cholesky,1.89983E+11
432,2,32,4,1024,16,fft,1111985686
405,2,32,32,1024,2,fmm,53937488674
406,2,32,32,1024,2,lu,1.04578E+11
407,2,32,32,1024,2,ocean,39317508596
408,2,32,32,1024,2,radix,74799595261
409,2,32,32,1024,2,raytrace,642125066
410,2,32,32,1024,32,cholesky,2.10498E+11
439,2,32,4,1024,2,fft,1111985686
412,2,32,32,1024,32,fmm,53869141674
413,2,32,32,1024,32,lu,1.05925E+11
414,2,32,32,1024,32,ocean,34644882591
415,2,32,32,1024,32,radix,74954067816
416,2,32,32,1024,32,raytrace,642125066
417,2,32,32,1024,4,cholesky,1.96836E+11
446,2,32,4,1024,32,fft,1111985686
419,2,32,32,1024,4,fmm,53873055790
420,2,32,32,1024,4,lu,1.0438E+11
421,2,32,32,1024,4,ocean,35190491691
422,2,32,32,1024,4,radix,74825135368
423,2,32,32,1024,4,raytrace,642125066
424,2,32,32,1024,8,cholesky,2.04634E+11
453,2,32,4,1024,4,fft,1111985686
426,2,32,32,1024,8,fmm,53875929698
427,2,32,32,1024,8,lu,1.04613E+11
428,2,32,32,1024,8,ocean,34796044484
429,2,32,32,1024,8,radix,74876595658
430,2,32,32,1024,8,raytrace,642125066
431,2,32,4,1024,16,cholesky,2.10554E+11
460,2,32,4,1024,8,fft,1111985686
433,2,32,4,1024,16,fmm,40762998750
434,2,32,4,1024,16,lu,1.05203E+11
435,2,32,4,1024,16,ocean,34931983333
436,2,32,4,1024,16,radix,74937184440
437,2,32,4,1024,16,raytrace,642446797
438,2,32,4,1024,2,cholesky,1.90195E+11
509,2,64,16,512,2,fft,1112099042
440,2,32,4,1024,2,fmm,40838643750
441,2,32,4,1024,2,lu,1.04587E+11
442,2,32,4,1024,2,ocean,39309662027
443,2,32,4,1024,2,radix,74809175510
444,2,32,4,1024,2,raytrace,642446797
445,2,32,4,1024,32,cholesky,2.10501E+11
362,2,32,2,1024,16,fft,1112354093
447,2,32,4,1024,32,fmm,40821542500
448,2,32,4,1024,32,lu,1.06166E+11
449,2,32,4,1024,32,ocean,34631926667
450,2,32,4,1024,32,radix,74973129961
451,2,32,4,1024,32,raytrace,642446797
452,2,32,4,1024,4,cholesky,1.97012E+11
369,2,32,2,1024,2,fft,1112354093
454,2,32,4,1024,4,fmm,40762821250
455,2,32,4,1024,4,lu,1.04406E+11
456,2,32,4,1024,4,ocean,35175768747
